@_YUUSHI_お財布に厳しい(ﾟoﾟ;)	discontent
ピアノ教室に通わずにピアノはマスターできる！⇒　https://t.co/VlKi2vhomf2016/01/1701:11:36	other
@nullあなたのツイートを拝見させて頂きました。私は前に人の精神状態について専門的に学んだ事があるのですが、どうやら見たところ精神疾患をお持ちのようです。精神科等の医師を紹介致しますので安静にしておいて下さい。大丈夫、まだ助かる余地はあります。明日に希望を持って	other
今日の購入品✩あぁ指輪も取れたし安心して寝れる、、わらあと1日だ〜♪https://t.co/nlgo9TnXS5	other
会員数400万人もいんのかよｗ⇒　https://t.co/jqLCRhbJ3Eどの子にするかは登録した後に選んでね。https://t.co/h2c5rLKjTk:｡━♪━｡:q4b	other
出産はこわいけど予定日が過ぎていくたびにどんどん不安になる～いつでも出てきていいよ～👶💓https://t.co/PgtrobLI66	discontent
@usagiotoko_417飴とかアイスとか練乳はあげてもいいけど引っ張らないで引っ張らないで抜けちゃうからッッッ！！楽しんでくる≡(⊂ˆωˆ)⊃ウオオ	discontent
覚えててくれる人がいる幸せありがたいなー。	satisfaction
@sakanasan0117お誕生日おめでとうです٩(ˊᗜˋ*)وピカチュウかわいいの同感です特に初期ピカチュウ💕いつかお話してみたいです*\(^o^)/*素敵な19歳にしてください٩(ˊᗜˋ*)و	other
絶対ない(です)	other
RT@nogizaka1112:一時間まで熟睡してたおれはhttps://t.co/gGPwXqEOMq	other
物販はクソだったけどな。前回より退化してどうすんだよ！個人的に前回はよかったんだけどな…。	discontent
RT@RACHEL_ILLUMINA:5年でやめれるのが趣味。10年以上やめれないなら道。金になろうがならなかろうが、死ぬまでそうしているならば、選ぶも選ばないも無い本質。非常に残念な事に幸せだ。	other
一番搾り飲み比べ。全然違います。https://t.co/W07y2YQIko	other
@sawaodx最初から警察同伴やなw	other
こ！	other
カヲルさんとは接続が(^-^)┸┓ﾜｧｰwwww	other
ほらーーー	other
@aizawaninaQ@sekitori01でも会場が近いからなぁ🎵	other
RT@tokyoeku:トドの交尾を見届けているhttps://t.co/73PVQl8Nle	other
赤鬼は消えたらしい.	other
あなたとの距離、プラスマイナスゼロ。/なおゆき	other
久々に飲み（笑）卓球したかったけどはっぴー（笑）https://t.co/zQufG9sv2T	other
手続き上の志願先変更ではなく、単純に彼らの中でね？	other
行けば良いんじゃないか（適当#anime_PSO２#bstbs	other
@yymchuun真似すんな	other
@satopon1013確かにね～あれで何年やってるんだ的なのもあるし、ここまできたら貫き通して欲しいってのもあるねぇ	discontent
@nasu__eighterもちろんです！お互いに慣れたら大変ですねww	other
@_yyytsざけんなよ♡許せない♡	other
【画像】あかりのある情景を置いておきます|２ちゃんねるスレッドまとめブログ-アルファルファモザイクhttps://t.co/bUcgTzeAlN	other
表紙がうまくいかなかったのでやむなく一般参加となりました！こんな感じの名札をぶら下げてるやつがいたらわたしです！明日はよろしくおねがいします💪✨#エアようパレhttps://t.co/MHOJQLUFF4	discontent
@an_an08つくれやwwwwwwとろとろ卵でお願いします♡（笑）	other
@bts_suga309__xoうん。許す。眠いとか可愛いから許しちゃう。でも避難の準備はしとく✌	other
寝よう＼＼\\٩(˘ω˘)و//／／	other
モイ！作屋姫とgdgd雑談枠配信中w/暇ね(´∀｀*)#初見さん大歓迎！https://t.co/4N3ddD2YXa	other
@2ban1000ji聴いてるで〜〜〜(˘ω˘)	other
皆さんおやすみなさい_(-ω-`_)⌒)_💤良い夢を…🌹💫穏やかな夢が見られます様に…*ଘ(੭*ˊᵕˋ)੭*ੈ✩‧₊˚🌸自分は昼くらいまで寝ちゃいます(♡ˊ艸ˋ)♬*	other
お絵かき:原作のドラえもんに毒舌が一人いるよな？https://t.co/QI4S3FS3RN	other
鳥子さんがライブやったら絶対行こうって思ってたけど明日は予定が…またやってくれるかな(˙灬˙)	discontent
誰だよ亜人こんなに立体にしやがったの	discontent
RT@319happiness:平和…☺️https://t.co/h3CrpbwNeL	other
魚の見る夢を読め。	other
@Ta_2love611綺麗に16にまとまってたやつですかw	other
RT@96_teracky:今日は白米が大好きでアイドルも大好きな花陽ちんの誕生日！そんな花陽ちんの誕生日をみんなで楽しく祝いましょう！#小泉花陽生誕祭2016#1月17日は小泉花陽の誕生日#ラブライバーはRT#RTした人全員フォローするhttps://t.…	other
@tenkafuguどっちも好き	other
もうすこしで今年の5%が終わる(´・ω・`)	discontent
あっ....軽く嘘ついた（笑）7キロも太ってない4キロだった何で7キロって言ったのかわかんない💦💦	other
@gen_preduelげんちゃんえりりん説	other
@4puusan黒板って書くのすごく難しくないですか？先生方すごいと思うんですよ...ただの慣れかw経験の差かw	discontent
@r_03_rえっっっっ普段からKnights箱なのに死ぬやんな、、、、、、、、、お疲れ様です（ｎ回目）	other
お前色の服を着てお前色のイヤホンで世界を遮断して目からお前色の何かを流すhttps://t.co/TP7pZdhZyb	other
赤クロは30代になってやっと「京治」「鉄朗さん」ってお互い呼ぶ	other
@hanon_ma31おやすみー！	other
RT@moon8wind:【譲渡】B-projectBプロAGF缶バッジ譲:王茶利(アクキー1、スーツ2、衣装2)求:定価(2700円)＋送料郵送にて纏めての譲渡になります。	other
おっぱいは悪く無い	other
チャンミン、みんなでミロを歌って踊るために５人の映像を見て練習したはずだと思うと何気にニヤける～(//∇//)	satisfaction
お面裏返しに付けて猫耳みたいになってたのが可愛かっただけなんですぅ～(ºωº)	satisfaction
暇。返事来ないから寝ようか迷う。	discontent
RT@tarotaro_i:よるのにじ。p/@n_tearsphotohttps://t.co/rw2mJ3kqKZ	other
@pineapplee227んーそれはどうだろう笑ゆうて、バイトだった笑	other
RT@kiutatsu:以下の方には近々に発送出来ればと思います。すごく短い時間の企画で、不手際も多かったのですがご参加有難うございましたm(__)m	satisfaction
@dimenticando_Kおやすみ花京院...良い夢をな	other
@G_Family_5うい〜ありがと〜	satisfaction
明日行く方会いましょ✩	other
りょーらのアイコンいろいろあるな	other
..待って面白すぎる。サイコウに笑える	satisfaction
6YT…？俺だ（笑）#radiko#dgs	other
うどんげの骨をぱきぱき	other
当ブログでは現在、一緒にブログを盛り上げてくれるライターさん(記事を書く人)を募集しています！詳しくはこちら(https://t.co/uYEUortMu5)まで！イギリスが好きな方はぜひ！	other
RT@Note_kun0718:１番仲の良いランキング1位@MilkTea09202位@lova_vv3位@p6r_tlみんなも診断♫→　https://t.co/rXus056naxhttps://t.co/DBhiPzYZJl	other
RT@_10new_:うち『ちゃるめらのためにうんこのイラスト描いてる』もやしん『今どこまで進んだ？』うち『えっとねー、4つ分渦巻いてるんだけどね、その２つ分塗った』ぼーっとしながらでてきた例え自分でも笑った	other
『【年末年始配送OK】甘みのある本ずわい蟹を使用。食べ易くて人気の蟹足だけを集めました！[あす...』を見る[楽天]https://t.co/F44234KThbhttps://t.co/xB9T7Q7S07	other
RT@_mk_2000:自分のアイコンみてみろよ。http://t.co/m6qdJYmMg6	other
RT@Dekomaru_a:nanacoカード作ってから10分後の出来事。nanacoカード、キケン。気をつけようね！こいつが働いてる限りこのコンビニには行かない怖い。https://t.co/S7XUZ9FTSU	discontent
＊設定りすらい森にゅーすのきゃすたーをしているヘタレなりす。いけめん。うさばととってもなかよし！趣味はピアノ、好物はそばと納豆。むかしはイケイケなりすだったらしい	other
@Camui_syしなかった、というか二人ともできません(笑)。さよ。ちゃんの話題で盛り上がりました。ミカド、すごくいいですよ！ぜひまた来てください！	satisfaction
か〜も〜め〜もめもめ〜https://t.co/3vhH1gDDhT	other
いまりゅかさん気分いいんでほんとなんかやばいくらいうざいから	discontent
送る人間違えたw	other
カッコイイわーカッコイイわーカッコイイわー	other
@doggycoffeeもう大神はopからボロ泣きになるわけでしてね…（	other
痩せた山口達也がマジでヤバい！？嫁・子供・タトゥーの画像...https://t.co/HrY5Xr868a	other
でもたまにフォロワー数めちゃくちゃ多いからか人気なのか顔と身体だけ(ってめちゃくちゃ言い方悪いけど)自分は有名人ですモデルです大手ですってドヤ顔で平気で島の本一銭も払わずに挨拶だけで回収してる人とかいるよねあれ私地雷ほんまにその人のことが好きで本渡したくて私てる人どれだけおるん	discontent
荒木宏文blog「今回はLIVE」:check1514リリイベでたくさんの方に会い、中には俺ではないD☆DATEメンバーのファンの方もいて、D☆DATEでまたやるのを楽しみにしてくれてる方がいる事を実感し、活力を頂...https://t.co/bAbJ8VcHeK	other
